"species","latitud","longitd","site_nm","precisn","rcrdng_","smplng_","isltn_p","substrt","dss_sym","id_mthd","country","year","prmss_t","host","habitat","nrsry_E","nursery","forest","agrcltr","grdn_mn","pnt_f_n","refernc","contact","athrshp","folder"
"Phytophthora ramorum",55.08565456,-4.99539514,"Glenapp Castle, Ayrshire","247719.1157",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod sp.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",54.90979976,-4.94617616,"Castle Kennedy, Stranraer","959359.3701",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod sp.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",54.90979976,-4.94617616,"Castle Kennedy, Stranraer","959359.3701",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod sp.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.58859383,-5.15998704,"Strabane, Brodick, Arran","603235.7585",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Viburnum sp.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.63920914,-4.65612139,"Eglington Country Park, Irvine","1544535.701",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.78473356,-6.25457791,"Islay House, Islay","71284.24839",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.96976118,-4.32444707,"Mugdock Counrty Park, East Dunbartonshire","645493.3536",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",54.92079616,-3.94919472,"Threave Garden, Castle Douglas","952228.6225",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",54.90979976,-4.94617616,"Castle Kennedy, Stranraer","959359.3701",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.38224808,-6.08494194,"Tiroran House  , Mull","2974681.456",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.38224808,-6.08494194,"Tiroran House  , Mull","2974681.456",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.38224808,-6.08494194,"Tiroran House  , Mull","2974681.456",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.38224808,-6.08494194,"Tiroran House  , Mull","2974681.456",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.38224808,-6.08494194,"Tiroran House  , Mull","2974681.456",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",57.78214034,-5.59823661,"Inverewe Garden, Wester Ross","4042986.084",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod sp.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.89302254,-5.44273237,"Stonefield Castle, Tarbert, Mull of Kintyre","9607735.897",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.57227074,-5.52513308,"Torrisdale Castle, Mull of Kintyre","13484351.55",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.57227074,-5.52513308,"Torrisdale Castle, Mull of Kintyre","13484351.55",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.19066307,-5.05504643,"Strachur House, Argyll","6703427.332",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.27455432,-3.91278649,"Braco Castle, Dunblane","6206902.733",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Pieris forrestii",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.27455432,-3.91278649,"Braco Castle, Dunblane","6206902.733",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod sp.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.96976118,-4.32444707,"Mugdock Counrty Park, East Dunbartonshire","645493.3536",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.54167696,-2.91119517,"Bowhill House, Sellkirk","1646823.322",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Pieis formosa",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.96976118,-4.32444707,"Mugdock Counrty Park, East Dunbartonshire","645493.3536",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.54167696,-2.91119517,"Bowhill House, Sellkirk","1646823.322",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Pieris japonica",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.96976118,-4.32444707,"Mugdock Counrty Park, East Dunbartonshire","645493.3536",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.19066307,-5.05504643,"Strachur House, Argyll","6703427.332",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",54.92079616,-3.94919472,"Threave Garden, Castle Douglas","952228.6225",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",54.90979976,-4.94617616,"Castle Kennedy, Stranraer","959359.3701",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.20429299,-3.19499948,"Leslie House, Glenrothes, Fife","74279.16669",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.19066307,-5.05504643,"Strachur House, Argyll","6703427.332",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.96976118,-4.32444707,"Mugdock Counrty Park, East Dunbartonshire","645493.3536",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",54.92079616,-3.94919472,"Threave Garden, Castle Douglas","952228.6225",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",54.92079616,-3.94919472,"Threave Garden, Castle Douglas","952228.6225",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",54.92079616,-3.94919472,"Threave Garden, Castle Douglas","952228.6225",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",54.92079616,-3.94919472,"Threave Garden, Castle Douglas","952228.6225",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",54.92079616,-3.94919472,"Threave Garden, Castle Douglas","952228.6225",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",54.92079616,-3.94919472,"Threave Garden, Castle Douglas","952228.6225",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",54.92079616,-3.94919472,"Threave Garden, Castle Douglas","952228.6225",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",54.92079616,-3.94919472,"Threave Garden, Castle Douglas","952228.6225",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Viburnum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",54.92079616,-3.94919472,"Threave Garden, Castle Douglas","952228.6225",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Viburnum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.56526706,-5.15837025,"Kilmichael House, Brodick, Arran","1965363.035",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Viburnum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.27455432,-3.91278649,"Braco Castle, Dunblane","6206902.733",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.27455432,-3.91278649,"Braco Castle, Dunblane","6206902.733",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.01741943,-4.76990188,"Glenarn, Rhu, Helensburgh","66302.69388",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Viburnum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",54.92079616,-3.94919472,"Threave Garden, Castle Douglas","952228.6225",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Viburnum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",54.92079616,-3.94919472,"Threave Garden, Castle Douglas","952228.6225",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod. 'Germania'",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",54.92079616,-3.94919472,"Threave Garden, Castle Douglas","952228.6225",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod. sp.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",54.92079616,-3.94919472,"Threave Garden, Castle Douglas","952228.6225",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.19066307,-5.05504643,"Strachur House, Argyll","6703427.332",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",54.92079616,-3.94919472,"Threave Garden, Castle Douglas","952228.6225",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",54.92079616,-3.94919472,"Threave Garden, Castle Douglas","952228.6225",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",54.92079616,-3.94919472,"Threave Garden, Castle Douglas","952228.6225",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod. sp.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",57.40274245,-2.21601764,"Haddo Country Park, Aberdeenshire","5254162.992",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.71723254,-3.9078897,"West High Overton, South Lanarkshire","1157350.564",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod. sp.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.71723254,-3.9078897,"West High Overton, South Lanarkshire","1157350.564",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod. sp.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.71723254,-3.9078897,"West High Overton, South Lanarkshire","1157350.564",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod. sp.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.71723254,-3.9078897,"West High Overton, South Lanarkshire","1157350.564",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod. sp.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.71723254,-3.9078897,"West High Overton, South Lanarkshire","1157350.564",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod. sp.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.38224808,-6.08494194,"Tiroran House  , Mull","2974681.456",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.38224808,-6.08494194,"Tiroran House  , Mull","2974681.456",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.6614969,-5.75380315,"Achamore Gardens, Isle of Gigha","7306231.657",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.96976118,-4.32444707,"Mugdock Counrty Park, East Dunbartonshire","645493.3536",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.96976118,-4.32444707,"Mugdock Counrty Park, East Dunbartonshire","645493.3536",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",57.40274245,-2.21601764,"Haddo Country Park, Aberdeenshire","5254162.992",NA,NA,NA,NA,NA,NA,"Scotland",2015,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.71723254,-3.9078897,"West High Overton, South Lanarkshire","1157350.564",NA,NA,NA,NA,NA,NA,"Scotland",2015,"PG","Rhod. sp.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.71723254,-3.9078897,"West High Overton, South Lanarkshire","1157350.564",NA,NA,NA,NA,NA,NA,"Scotland",2015,"PG","Rhod. sp.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.38224808,-6.08494194,"Tiroran House, Mull","2974681.456",NA,NA,NA,NA,NA,NA,"Scotland",2015,"PG","Pieris sp.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.96976118,-4.32444707,"Mugdock Counrty Park, East Dunbartonshire","645493.3536",NA,NA,NA,NA,NA,NA,"Scotland",2015,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.19066307,-5.05504643,"Strachur House, Argyll","6703427.332",NA,NA,NA,NA,NA,NA,"Scotland",2015,"PG","Rhod. sp.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.19066307,-5.05504643,"Strachur House, Argyll","6703427.332",NA,NA,NA,NA,NA,NA,"Scotland",2015,"PG","Viburnum plicatum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.3590994,-5.85551669,"Laggan, Mull","72791153.99",NA,NA,NA,NA,NA,NA,"Scotland",2015,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.3590994,-5.85551669,"Laggan, Mull","72791153.99",NA,NA,NA,NA,NA,NA,"Scotland",2015,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.3590994,-5.85551669,"Laggan, Mull","72791153.99",NA,NA,NA,NA,NA,NA,"Scotland",2015,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.3590994,-5.85551669,"Laggan, Mull","72791153.99",NA,NA,NA,NA,NA,NA,"Scotland",2015,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
