FC_code,Common name,UK_forestry_species,Phytophthora species,host_pathogen_reference,location,Phytophthora_in_UK,Silvifuture_high_priority
JL,Japanese larch,Larix kaempferi,Phytophthora ramorum,"Webber, J.F., Mullett, M. & Brasier, C.M. (2010) Dieback and mortality of plantation Japanese larch (Larix kaempferi) associated with infection by Phytophthora ramorum. New Disease Reports, 22, 19.",,Y,
RAU,Rauli,Nothofagus alpina (Syn. N. procera and N. nervosa),Phytophthora pseudosyringae,"Sansford, C. (2012) Revised Rapid Assessment of the Need for a Detailed Pest Risk Analysis for Phytophthora Pseudosyringae. Sand Hutton, York.",,Y,
ROB,Roble,Nothofagus obliqua,Phytophthora ramorum,"Webber, J.F., Mullett, M. & Brasier, C.M. (2010) Dieback and mortality of plantation Japanese larch (Larix kaempferi) associated with infection by Phytophthora ramorum. New Disease Reports, 22, 19.",,Y,
ROB,Roble,Nothofagus obliqua,Phytophthora pseudosyringae,"Scanu, B. & Webber, J.F. (2016) Dieback and mortality of Nothofagus in Britain: Ecology, pathogenicity and sporulation potential of the causal agent Phytophthora pseudosyringae. Plant Pathology, 65, 26–36;
Scanu, B., Jones, B. & Webber, J.F. (2012) A new disease of Nothofagus in Britain caused by Phytophthora pseudosyringae. New Disease Reports, 25, 27.",,Y,
,Lenga,Nothofagus pumilio,,,,#N/A,
NS,Norway spruce,Picea abies,Phytophthora citrophthora,"Oszako, T. & Orlikowski, L.B. (2004) Short communications: the first noting of phytophthora citrophthora on picea abiesnina forest stand. World Patent Information, 26, 101–102.",,Y,
,Norway spruce,Picea abies,Phytophthora cactorum ,"Hudler, G.W., 2013. Phytophthora cactorum. Forest Phytophthoras 3(1). doi:10.5399/osu/fp.3.1.3396",,Y,
OMS,Serbian spruce,Picea omorika,,,,#N/A,
,Oriental spruce,Picea orientalis,,,,#N/A,
SS,Sitka spruce,Picea sitchensis,Phytophthora ramorum,CABI ISC Data Sheet,,Y,
LP,Lodgepole pine,Pinus contorta,,,,#N/A,
WWP,Western white pine,Pinus monticola,,,,#N/A,
CP,Corsican pine,Pinus nigra ssp. laricio (Syn. P. nigra var. maritima),Phytophthora cactorum ,"Hudler, G.W., 2013. Phytophthora cactorum. Forest Phytophthoras 3(1). doi:10.5399/osu/fp.3.1.3396",,Y,
MCP,Macedonian pine,Pinus peuce,,,,#N/A,
MAP,Maritime pine,Pinus pinaster,,,,#N/A,
RAP,"Radiata pine, Monterey pine",Pinus radiata,Phytophthora pinifolia,"Durán, A., Gryzenhout, M., Slippers, B., Ahumada, R., Rotella, A., Flores, F., Wingfield, B.D. & Wingfield, M.J. (2008) Phytophthora pinifolia sp. nov. associated with a serious needle disease of Pinus radiata in Chile. Plant Pathology, 57, 715–727; Hansen, E.M. 2012. Phytophthora pinifolia. Forest Phytophthoras 2(1). doi: 10.5399/osu/fp.2.1.3056",,N,
,"Radiata pine, Monterey pine",Pinus radiata,Phytophthora pluvialis,"Reeser, W, Sutton, R. Ganley, N. Williams, and E. Hansen Forest Phytophthoras (2015) doi: 10.5399/osu/fp.5.1.3745",,N?,
WEP,Weymouth pine,Pinus strobus,Phytophthora cactorum,"Hudler, G.W., 2013. Phytophthora cactorum. Forest Phytophthoras 3(1). doi:10.5399/osu/fp.3.1.3395",,Y,
SP,Scots pine,Pinus sylvestris,Phytophthora cactorum,"Hudler, G.W., 2013. Phytophthora cactorum. Forest Phytophthoras 3(1). doi:10.5399/osu/fp.3.1.3396",,Y,
,London plane,Platanus × hispanica,,,,#N/A,
PO,Black and balsam poplar species and hybrids ,"Populus nigra, P. trichocarpa, P. x canadensis, P. x generosa, ",Phytophthora ramorum,CABI ISC Data Sheet,,Y,
ASP,Aspen ,Populus tremula,,,,#N/A,
WCH,"Wild cherry, gean",Prunus avium,Phytophthora cactorum,"Hudler, G.W., 2013. Phytophthora cactorum. Forest Phytophthoras 3(1). doi:10.5399/osu/fp.3.1.3396",,Y,
,"Wild cherry, gean",Prunus avium,Phytophthora megasperma,Plantwise Knowledge Bank,,Y,
DF,Douglas fir,Pseudotsuga menziesii,Phytophthora ramorum,"Webber, J.F., Mullett, M. & Brasier, C.M. (2010) Dieback and mortality of plantation Japanese larch (Larix kaempferi) associated with infection by Phytophthora ramorum. New Disease Reports, 22, 19; Brasier, C.M., Beales, P. a, Kirk, S. a, Denman, S. & Rose, J. (2005) Phytophthora kernoviae sp. nov., an invasive pathogen causing bleeding stem lesions on forest trees and foliar necrosis of ornamentals in the UK. Mycological research, 109, 853–859.",,Y,
,Douglas fir,Pseudotsuga menziesii,Phytophthora pseudotsugae,"Hamm, P.B. & Hansen, E.M. (1983) Phytophthora pseudotsugae, a new species causing root rot of Douglas fir. Canadian Journal of Plant Pathology, 61, 2626–2631.",,N,
,Douglas fir,Pseudotsuga menziesii,Phytophthora cactorum,"Hudler, G.W., 2013. Phytophthora cactorum. Forest Phytophthoras 3(1). doi:10.5399/osu/fp.3.1.3396",,Y,
,Douglas fir,Pseudotsuga menziesii,Phytophthora megasperma,Plantwise Knowledge Bank Technical Fact Sheet,,Y,
,Douglas fir,Pseudotsuga menziesii,Phytophthora pluvialis,"Reeser, W, Sutton, R. Ganley, N. Williams, and E. Hansen Forest Phytophthoras (2015) doi: 10.5399/osu/fp.5.1.3745",,N?,
,Douglas fir,Pseudotsuga menziesii,Phytophthora cinnamomi,Plantwise Knowledge Bank Technical Fact Sheet,,Y,
SOK,Sessile oak,Quercus petraea,Phytophthora cambivora,"Schubert, R., Bahnweg, G., Nechwatal, J., Jung, T., Cooke, D.E.L., Duncan, J.M., Müller-Starck, G., Langebartels, C., Sandermann, H. & Oßwald, W. (1999) Detection and quantification of Phytophthora species which are associated with root-rot diseases in European deciduous forests by species-specific polymerase chain reaction. European Journal of Forest Pathology, 29, 169–188.",,Y,
,Sessile oak,Quercus petraea,Phytophthora ramorum,"Denman, S., Kirk, S., Whybrow, A., Orton, E. & Webber, J.F. (2006) Phytophthora kernoviae and P. ramorum: Host susceptibility and sporulation potential on foliage of susceptible trees. EPPO Bulletin, 36, 373–376.",,Y,
,Sessile oak,Quercus petraea,Phytophthora quercina,"Schubert, R., Bahnweg, G., Nechwatal, J., Jung, T., Cooke, D.E.L., Duncan, J.M., Müller-Starck, G., Langebartels, C., Sandermann, H. & Oßwald, W. (1999) Detection and quantification of Phytophthora species which are associated with root-rot diseases in European deciduous forests by species-specific polymerase chain reaction. European Journal of Forest Pathology, 29, 169–188.",,Y,
POK,Pedunculate oak,Quercus robur,Phytophthora kernoviae,"Brasier, C.M., Beales, P. a, Kirk, S. a, Denman, S. & Rose, J. (2005) Phytophthora kernoviae sp. nov., an invasive pathogen causing bleeding stem lesions on forest trees and foliar necrosis of ornamentals in the UK. Mycological research, 109, 853–859.",,Y,
,Pedunculate oak,Quercus robur,Phytophthora citricola,"Schubert, R., Bahnweg, G., Nechwatal, J., Jung, T., Cooke, D.E.L., Duncan, J.M., Müller-Starck, G., Langebartels, C., Sandermann, H. & Oßwald, W. (1999) Detection and quantification of Phytophthora species which are associated with root-rot diseases in European deciduous forests by species-specific polymerase chain reaction. European Journal of Forest Pathology, 29, 169–188.",,Y,
,Pedunculate oak,Quercus robur,Phytophthora gonapodyides,"Schubert, R., Bahnweg, G., Nechwatal, J., Jung, T., Cooke, D.E.L., Duncan, J.M., Müller-Starck, G., Langebartels, C., Sandermann, H. & Oßwald, W. (1999) Detection and quantification of Phytophthora species which are associated with root-rot diseases in European deciduous forests by species-specific polymerase chain reaction. European Journal of Forest Pathology, 29, 169–188.",,Y,
,Pedunculate oak,Quercus robur,Phytophthora quercina,"Schubert, R., Bahnweg, G., Nechwatal, J., Jung, T., Cooke, D.E.L., Duncan, J.M., Müller-Starck, G., Langebartels, C., Sandermann, H. & Oßwald, W. (1999) Detection and quantification of Phytophthora species which are associated with root-rot diseases in European deciduous forests by species-specific polymerase chain reaction. European Journal of Forest Pathology, 29, 169–188.",,Y,
,Pedunculate oak,Quercus robur,Phytophthora pseudosyringae,"Sansford, C. (2012) Revised Rapid Assessment of the Need for a Detailed Pest Risk Analysis for Phytophthora Pseudosyringae. Sand Hutton, York.",,Y,
ROK,Red oak,Quercus rubra,Phytophthora cinnamomi,"Marcais, B., Dupuis, F. & Desprez-Loustau, M.L. (1993) Influence of water stress on susceptibility of red oak (Quercus rubra) to Phytophthora cinnamomi. European Journal of Forest Pathology, 23, 295–305.",,Y,
,Red oak,Quercus rubra,Phytophthora europaea,"Balci, Y., Balci, S., Eggers, J., MacDonald, W.L., Juzwik, J., Long, R. & Gottschalk, K.W. (2006) First Report of Phytophthora europaea in Oak Forests in the Eastern and North-Central United States. Plant Disease, 90, 827.",,,
RSQ,Coast redwood,Sequoia sempervirens,Phytophthora ramorum,"Denman, S., Kirk, S., Whybrow, A., Orton, E. & Webber, J.F. (2006) Phytophthora kernoviae and P. ramorum: Host susceptibility and sporulation potential on foliage of susceptible trees. EPPO Bulletin, 36, 373–376.",,Y,
,"Wellingtonia, Giant sequoia",Sequoiadendron giganteum,,,,#N/A,
ROW,"Rowan, mountain ash",Sorbus aucuparia,Phytophthora megasperma,Plantwise Knowledge Bank Technical Fact Sheet,,Y,
,True service-tree,Sorbus domestica,,,,#N/A,
,Wild service-tree,Sorbus torminalis,,,,#N/A,
,Yew,Taxus bacata,Phytophthora cinnamomi,Plantwise Knowledge Bank Technical Fact Sheet,,Y,
RC,Western red-cedar,Thuja plicata,Phytophthora lateralis,http://www.forestry.gov.uk/plateralis,,Y,
SLI,Small-leaved lime,Tilia cordata,Phytophthora cactorum,"Hudler, G.W., 2013. Phytophthora cactorum. Forest Phytophthoras 3(1). doi:10.5399/osu/fp.3.1.3396",,Y,
WH,Western hemlock,Tsuga heterophylla,Phytophthora ramorum,"Webber, J.F., Mullett, M. & Brasier, C.M. (2010) Dieback and mortality of plantation Japanese larch (Larix kaempferi) associated with infection by Phytophthora ramorum. New Disease Reports, 22, 19.",,Y,
WEM,Wych elm,Ulmus glabra,Phytophthora cactorum,"Hudler, G.W., 2013. Phytophthora cactorum. Forest Phytophthoras 3(1). doi:10.5399/osu/fp.3.1.3396",,Y,
,,,,,,,
,,,,,,,
"This is a list of disease causing host-Phytophthora interactions involving important UK forestry species, based on the list on the FC website",,,,,,,
"FC ""60 tree species that are either widely grown in British forests at the present time or which could play an increasing role in the future, focusing on those species which could be expected to produce usable timber in British conditions.""",,,,,,,
http://www.forestry.gov.uk/website/forestresearch.nsf/searchtreespecies,,,,,,,
I have added horse chestnut and yew to this list,,,,,,,
We may want to add others,,,,,,,
